session_test_id,trial_id,stimuli_rating1,stimuli_rating2,stimuli_rating3,stimuli_rating4,stimuli,rating_time
lss_4scale,ro_tts2,4,3,2,1,C1,5107
lss_4scale,ro_tts2,1,2,2,1,C1,4454
